Date,Close,High,Low,Open,Volume,Daily Return,SMA_20,EMA_20,RSI,MACD,Signal_Line,MACD_Histogram,Signal,Portfolio Value,Cumulative Returns
,,,,,,,,,,,,,0,,
2020-01-02,72.79601287841797,72.85660552982391,71.54537966581154,71.79986584309097,135480400.0,,,72.79601287841797,,0.0,0.0,0.0,0,10000.0,0.0
2020-01-03,72.08829498291016,72.85176099103282,71.86289207131898,72.0204315021118,146322800.0,-0.00972193211584027,,72.7286111740839,,-0.05645612841657055,-0.01129122568331411,-0.04516490273325644,-1,10000.0,0.0
2020-01-06,72.66270446777344,72.7014846521864,70.95399466003437,71.20606216043667,118387200.0,0.007968138031277494,,72.72233434491147,,-0.054222923928591626,-0.019877565332369614,-0.03434535859622201,0,10000.0,0.0
2020-01-07,72.32096862792969,72.9293138189329,72.10041048902463,72.67240156846412,108872000.0,-0.004703043223436731,,72.68410903853226,,-0.07911631591069579,-0.03172531544803485,-0.04739100046266094,0,10000.0,0.0
2020-01-08,73.48434448242188,73.78730773933461,72.02285002693742,72.02285002693742,132079200.0,0.016086286958868268,,72.76032193795031,,-0.004913163790050135,-0.026362885116437907,0.021449721326387772,1,10000.000000000002,2.220446049250313e-16
2020-01-09,75.04522705078125,75.23912061605091,74.21389747975358,74.46595763529108,170108400.0,0.021241021871437615,,72.97793194869612,,0.1777940481825908,0.014468501543367835,0.16332554663922297,0,10212.410218714376,0.021241021871437615
2020-01-10,75.21489715576172,75.78205111087851,74.71076934701742,75.28034197950352,140644800.0,0.002260904679063147,,73.19097625413094,,0.3324495183797467,0.07806470491064361,0.2543848134691031,0,10235.49950476238,0.02354995047623798
2020-01-13,76.82179260253906,76.84845721797936,75.41361983783602,75.53238647587344,121532000.0,0.021364058285550103,,73.53676828731267,,0.5780151273269496,0.17805478939390482,0.39996033793304475,0,10454.171312763843,0.04541713127638425
2020-01-14,75.7844467163086,76.96964264584395,75.66084272483062,76.75878138146395,161954400.0,-0.013503276233054029,,73.750832899598,,0.68107152942585,0.2786581374002939,0.40241339202555615,0,10313.005749739923,0.0313005749739923
2020-01-15,75.45965576171875,76.4679182657421,75.02581035091664,75.58326712486469,121923600.0,-0.004285720469869858,,73.91357793408568,,0.7281429759528493,0.36855510511080497,0.3595878708420443,0,10268.807089892378,0.026880708989237778
2020-01-16,76.40492248535156,76.51641831155123,75.64145640571084,76.00501238616502,108829200.0,0.012526782876106868,,74.15084884373005,,0.832130281231585,0.461270140334961,0.37086014089662395,0,10397.442206704085,0.039744220670408614
2020-01-17,77.25079345703125,77.253212133664,76.34674834560415,76.65455638252,137816400.0,0.011070896274279374,,74.44608166404446,,0.9715957371682009,0.563335259701609,0.4082604774665919,0,10512.551210892321,0.051255121089232025
2020-01-21,76.72727966308594,77.32108332706851,76.58912661521823,76.87754828501977,110843200.0,-0.006776807984975597,,74.66333861633412,70.0544641196109,1.0280294443004863,0.6562740966213845,0.3717553476791018,0,10441.309669903882,0.04413096699038821
2020-01-22,77.00115203857422,77.55617545523555,76.90662394261042,77.21443197966312,101832400.0,0.0035694263720917885,,74.88598751369031,70.86845636364187,1.0823758209325263,0.7414944414836129,0.3408813794489134,0,10478.579155998814,0.047857915599881284
2020-01-23,77.37198638916016,77.45196545033632,76.50429530744599,77.05448142476102,104472000.0,0.0048159584729350335,,75.1227493113541,71.90261188633963,1.1422023511504449,0.8216360234169793,0.3205663277334656,0,10529.043558069467,0.052904355806946635
2020-01-24,77.14898681640625,78.36568459280262,76.95751196709428,77.61918638262722,146537600.0,-0.002882174584897923,,75.31572431183525,75.40134597666024,1.1582692980684328,0.88896267834727,0.26930661972116277,0,10498.697016323116,0.049869701632311525
